,GAME_DATE,Player_Name,MATCHUP,PTS_PROP,REB_PROP,AST_PROP,BLK_PROP,STL_PROP,3PTS_PROP,PRA_PROP,PR_PROP,PA_PROP,RA_PROP,Player_ID,SEASON_ID
51,2022-02-05,RJ Barrett,NYK @ LAL,19.5,5.5,2.5,0.5,0.5,1.5,,,,,1629628.0,22021
52,2022-02-05,Harrison Barnes,SAC vs. OKC,17.5,6.5,2.5,0.5,0.5,2.5,,,,,203084.0,22021
53,2022-02-05,Donte DiVincenzo,MIL @ POR,7.5,3.5,1.5,0.5,0.5,,,,,,1628978.0,22021
54,2022-02-05,Mitchell Robinson,NYK @ LAL,8.5,8.5,,0.5,0.5,,,,,,1629011.0,22021
55,2022-02-05,Wendell Carter Jr.,ORL vs. MEM,,9.5,2.5,0.5,0.5,1.5,,,,,1628976.0,22021
56,2022-02-05,P.J. Washington,CHA vs. MIA,9.5,5.5,1.5,0.5,0.5,,,,,,1629023.0,22021
57,2022-02-05,Tony Snell,POR vs. MIL,,3.5,,,,,,,,,203503.0,22021
58,2022-02-05,Kemba Walker,NYK @ LAL,8.5,2.5,2.5,0.5,,1.5,,,,,202689.0,22021
59,2022-02-05,Aaron Holiday,WAS vs. PHO,,,2.5,,,,,,,,1628988.0,22021
60,2022-02-05,Mikal Bridges,PHO @ WAS,14.5,,2.5,,0.5,,,,,,1628969.0,22021
61,2022-02-05,Evan Fournier,NYK @ LAL,15.5,3.5,1.5,0.5,0.5,2.5,,,,,203095.0,22021
62,2022-02-05,Spencer Dinwiddie,WAS vs. PHO,14.5,4.5,6.5,0.5,0.5,,,,,,203915.0,22021
63,2022-02-05,Cameron Johnson,PHO @ WAS,11.5,3.5,1.5,0.5,0.5,1.5,,,,,1629661.0,22021
64,2022-02-05,Brandon Clarke,MEM @ ORL,,5.5,0.5,,,,,,,,1629634.0,22021
65,2022-02-05,Chuma Okeke,ORL vs. MEM,,4.5,1.5,0.5,0.5,,,,,,1629643.0,22021
66,2022-02-05,Terry Rozier,CHA vs. MIA,19.5,3.5,4.5,0.5,1.5,,,,,,1626179.0,22021
67,2022-02-05,Anfernee Simons,POR vs. MIL,19.5,3.5,4.5,0.5,0.5,3.5,,,,,1629014.0,22021
68,2022-02-05,Cole Anthony,ORL vs. MEM,17.5,,6.5,,0.5,1.5,,,,,1630175.0,22021
69,2022-02-05,Ziaire Williams,MEM @ ORL,10.5,2.5,1.5,,0.5,,,,,,1630533.0,22021
70,2022-02-05,LaMelo Ball,CHA vs. MIA,19.5,6.5,,,,2.5,,,,,1630163.0,22021
71,2022-02-05,Tyus Jones,MEM @ ORL,,1.5,2.5,,,,,,,,1626145.0,22021
72,2022-02-05,Obi Toppin,NYK @ LAL,,,0.5,,,,,,,,1630167.0,22021
73,2022-02-05,Luguentz Dort,OKC @ SAC,,,1.5,,0.5,,,,,,1629652.0,22021
74,2022-02-05,Tyler Herro,MIA @ CHA,18.5,4.5,3.5,0.5,,,,,,,1629639.0,22021
75,2022-02-05,Alec Burks,NYK @ LAL,7.5,3.5,1.5,0.5,0.5,1.5,,,,,202692.0,22021
76,2022-02-05,Stanley Johnson,LAL vs. NYK,6.5,3.5,1.5,,,,,,,,1626169.0,22021
77,2022-02-05,De'Anthony Melton,MEM @ ORL,,3.5,2.5,,,,,,,,1629001.0,22021
78,2022-02-05,CJ Elleby,POR vs. MIL,,5.5,,,,,,,,,1629604.0,22021
79,2022-02-05,Kyle Anderson,MEM @ ORL,,4.5,2.5,,,,,,,,203937.0,22021
80,2022-02-05,Mamadi Diakite,OKC @ SAC,,,0.5,,,,,,,,1629603.0,22021
81,2022-02-06,Nikola Vucevic,CHI vs. PHI,22.5,11.5,4.5,0.5,0.5,2.5,,,,,202696.0,22021
82,2022-02-06,DeMar DeRozan,CHI vs. PHI,29.5,5.5,6.5,0.5,0.5,,,,,,201942.0,22021
83,2022-02-06,Kyrie Irving,BKN @ DEN,27.5,5.5,,,,2.5,,,,,202681.0,22021
84,2022-02-06,De'Andre Hunter,ATL @ DAL,15.5,3.5,1.5,0.5,0.5,1.5,,,,,1629631.0,22021
85,2022-02-06,Grayson Allen,MIL @ LAC,9.5,3.5,1.5,0.5,0.5,1.5,,,,,1628960.0,22021
