,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,Player_Name,POS,TEAM,Off_Days,TEAM_ID
24,22020,1630173,0022000392,2021-02-11,MIA @ HOU,W,5,1,1,1.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,2,-5,1,Precious Achiuwa,Forward,MIA,2,1610612748
25,22020,1630173,0022000410,2021-02-13,MIA @ UTA,L,5,0,2,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,1,3,2,0,2,1,Precious Achiuwa,Forward,MIA,2,1610612748
26,22020,1630173,0022000425,2021-02-15,MIA @ LAC,L,12,3,6,0.5,0,0,0.0,2,2,1.0,0,1,1,0,2,0,0,3,8,-2,1,Precious Achiuwa,Forward,MIA,2,1610612748
27,22020,1630173,0022000443,2021-02-17,MIA @ GSW,L,17,6,7,0.857,0,0,0.0,1,1,1.0,0,6,6,0,0,0,0,1,13,17,1,Precious Achiuwa,Forward,MIA,2,1610612748
28,22020,1630173,0022000447,2021-02-18,MIA @ SAC,W,12,0,4,0.0,0,0,0.0,0,0,0.0,1,3,4,1,0,2,1,0,0,-10,1,Precious Achiuwa,Forward,MIA,1,1610612748
29,22020,1630173,0022000463,2021-02-20,MIA @ LAL,W,12,2,4,0.5,0,0,0.0,0,2,0.0,1,3,4,0,0,0,1,1,4,10,1,Precious Achiuwa,Forward,MIA,2,1610612748
30,22020,1630173,0022000475,2021-02-22,MIA @ OKC,W,9,1,1,1.0,0,0,0.0,0,2,0.0,1,2,3,1,0,0,0,0,2,3,1,Precious Achiuwa,Forward,MIA,2,1610612748
31,22020,1630173,0022000492,2021-02-24,MIA vs. TOR,W,6,0,0,0.0,0,0,0.0,1,2,0.5,0,2,2,0,0,0,0,1,1,-4,1,Precious Achiuwa,Forward,MIA,2,1610612748
32,22020,1630173,0022000522,2021-02-28,MIA vs. ATL,W,12,4,5,0.8,0,0,0.0,6,7,0.857,4,3,7,1,1,1,1,0,14,4,1,Precious Achiuwa,Forward,MIA,4,1610612748
33,22020,1630173,0022000538,2021-03-02,MIA vs. ATL,L,15,1,1,1.0,0,0,0.0,0,2,0.0,1,3,4,0,1,1,0,2,2,-9,1,Precious Achiuwa,Forward,MIA,2,1610612748
